Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Centro;Lazio;LT;NonCap;340,77;307,35;289,42;302,13;245,81;294,57;265,34;296,38;189,33;203,62;205,8;287,9;248,77;250,96;192,88;220,85;214,83;248,45;246,61;344,21;265,24;292,1;221,44;275,96;247,48;361,09;284,14;295,86;223,2;236,62;228,63;421,67;293,85;294,88;206,03;274,86;237,5;213,38;298,06;383,31;358,19;437,82;325,31;442,96;356,51;424,6;333,91;378,6;341,83;326,16;255,55;345,11;283,74;329,97;290,25;385,51
Centro;Lazio;RI;cap;61,95;62,34;60,01;87,89;37,94;52,25;49,5;32,34;38;65;37,5;46,17;37,57;37;24,66;48,63;44,42;25,17;38,4;67,5;44,5;44,25;37,55;33;62;43,67;23,94;51,84;51,51;47,66;50,75;35,17;47;52,13;59,32;64,66;32,33;36;37;64,01;49,25;61,33;60,5;76;46,5;58;48,81;60,58;47,67;47,17;35,02;65,41;44;48,34;41,46;59,5
Centro;Lazio;RI;NonCap;62,41;125,32;83;152,36;74,33;87,07;59,44;85,5;74,85;68,33;45,78;88,35;45,86;57,38;60,67;80,24;52,33;61,44;49,05;87,41;75,25;56;70,33;75,68;57,96;85,18;54,86;84;56,83;78,47;64,44;82,38;62,73;70,27;67,81;75,79;57,24;52,67;71,34;87,1;77,01;79,53;90,51;130,14;90,75;89,89;89,68;133,23;91,09;95,54;66,01;100,52;124,56;108,41;103,88;137,62
Centro;Lazio;RM;cap;5233,27;5689,97;4479,42;6928,15;4168,51;4685,68;3340,99;4395,57;3264,24;4020,29;3000,22;4090;3696,5;4091,29;3160,63;4861,11;3218,42;3567,9;3370,82;4098,08;3548,68;4582,28;3510,98;5386,64;4369,32;4500,67;3881,85;4770,99;4122,61;4657,89;3621,86;5484,9;4463,18;4811,11;4009,81;5346,49;3561,13;3603,48;3976,23;6139,2;5111,14;5942,54;4821,91;6482,1;5144,23;6267,6;4555,63;6100,39;4746,96;5449,7;4126,03;6003,76;4869,85;5626,65;4193,34;6621,69
Centro;Lazio;RM;NonCap;2209,19;2773,52;2145,83;3007,72;1982,86;1834,63;1485,11;1757,1;1582,64;1664,3;1388,61;1634,06;1494,5;1546,02;1331,46;1620,79;1346,4;1697,75;1345,92;1845,7;1692,72;2091,3;1636,24;2026,77;2378,84;2081,6;1558,69;2071,17;1793,51;1998,85;1735,78;2171,34;1934,99;2126,49;1745,73;2191,15;1624,35;1472,71;1788,5;2650,06;2287,76;2673,91;2381,23;3182,47;2567,46;3065,31;2247,61;2710,43;2150,24;2307,96;1942,99;3201,69;1951,44;2441,97;2216,36;3142,51
Centro;Lazio;VT;cap;191;128,11;96,58;110,8;77,92;88,99;73,67;85,37;80,45;80,17;73,35;85,89;48,42;72,75;83,42;70,97;125,23;96,83;82,16;121,45;84,25;109,2;100,91;108,61;86,69;142,95;77,89;96,13;87,53;100,62;89,67;103,36;104,84;105,28;86,87;141,67;80,84;79,17;121,1;116,42;119,55;143,76;110;210,5;111,86;200,78;107,32;135;135,57;116,69;89,51;157,93;90,14;151,44;116,33;190,8
Centro;Lazio;VT;NonCap;184,78;235,27;167,36;231,55;111,55;138,15;111,82;186,42;128,48;170,55;109,77;128,4;117,26;156,36;95,51;148,52;117,94;168,35;120,42;177,06;154,42;137,26;147,46;204,98;150,26;173,45;151,63;204,54;155,44;178,16;168,5;212,58;166,72;227,01;157,04;182,62;125;110,65;157,69;199,83;176;259,3;212,17;276,33;223,16;242,31;220,27;274,18;213,14;220,83;171,06;231,78;214,25;242,63;177,25;290,1
Centro;Marche;AN;cap;87,06;116,99;113,32;196,11;64,36;73,31;74,02;88,32;74,11;64,66;39,79;58,07;52,27;68,58;67,74;99,24;45,81;76,78;83,95;91,35;86,11;101,47;64,41;87,16;71,56;99,56;75,66;83,69;66,96;84,25;128,15;121,74;89,34;120,05;95,4;97,32;117,76;80,73;81,75;104,06;119,64;117,68;119,59;136,52;199,08;146,17;111,14;189,49;93,43;131,31;84,11;101,75;118,8;134,51;91,32;128,61
Centro;Marche;AN;NonCap;568,84;675,24;694,9;758,95;432,63;510,85;383,9;474,22;338,24;369,72;386,15;441,6;355,94;401,39;356,72;425,36;305,47;371,9;405,25;487,85;374,22;490,36;402;515,98;439,42;509,15;446,68;503,33;434,09;529,83;440,37;550,09;459,35;545,84;438,62;525,32;408,14;384,21;499,34;741,49;574,64;676,43;621,25;808,22;718,42;832,13;650,03;672,35;611,86;617,81;529,27;725,13;537,01;614,49;564,65;806,62
Centro;Marche;AP;cap;57,06;33,87;39,47;45,33;35,47;36,1;19,08;29,28;20,97;29,14;43,5;22,17;27,02;27,5;27,67;44,66;29,33;39,75;39,94;43,5;36,2;44,34;29,5;36,29;31,78;42,11;44,21;58,5;41;45,65;35,25;48;61,35;41,61;49,09;54,67;22,5;38,49;57,01;51,25;43,11;69,18;58;49,25;67,8;49,16;49,11;56,17;56;58,72;29,8;50,3;35,78;46,5;53,58;73,33
Centro;Marche;AP;NonCap;436,23;457,19;344,65;585,28;328,83;338,06;286,74;361,07;298,86;287,91;293,43;315,97;247,57;305,64;226,6;312,13;236,66;287,62;268,54;321,77;261,04;333,78;336,39;372,48;288,88;378,74;326,98;376,33;287,23;374,35;315,98;434,54;405,75;434,38;346,92;418,46;303,54;290,68;401,69;501,51;393,52;535,46;482,73;532,63;457,34;751,83;488,71;508,85;378,51;443,27;470,51;513,65;385,89;504,68;447,97;774,19
Centro;Marche;MC;cap;54,86;61,75;81,81;92,78;76,26;73,17;33,24;69,19;42,5;46,61;42,67;53,8;43,84;30,07;37,58;64,08;40,98;33,91;59,34;73,98;50,5;65,56;44,07;52,33;45,25;42,7;48,5;65,16;47;40,6;54;62,92;60,2;65,47;51,15;64,2;44,77;37,84;40,85;94,73;67,79;66,17;51,25;63,5;48,92;75,57;57,83;80,35;51,16;37,97;57,81;78,05;53,17;57,5;42,28;60,51
Centro;Marche;MC;NonCap;423,74;417,72;365,23;427,31;284,95;271,95;240,9;270,36;202,79;252,45;189,81;248,49;216,35;215,68;229,4;275,17;197,92;220,18;271,45;269,81;230,69;289,33;221,92;333,94;247,41;269;253,65;276,85;244,69;355,86;269,77;433,59;374,04;427,04;297,15;362,45;259,09;223,33;339,61;473,41;384,63;461,47;400,22;489;358,23;595,35;420,5;429,55;325,87;385,8;345,22;412,66;336,4;396,45;401,4;549,69
Centro;Marche;PS;cap;123,85;156;121,46;187,51;142,68;132,94;97,83;138,01;87,56;84,09;71,12;92;90,94;95,23;90,84;104,1;78,07;85,66;80,61;101,63;90,45;119,17;149,97;176,68;121,78;119,67;119,81;122,19;103,83;110,59;96,08;157,57;136,07;151,61;111,67;161,23;82;97;112,07;166,16;146,55;209,25;162,39;166,14;149,17;198,84;193,35;203,96;150,92;155,13;137,55;168,23;111,44;148,57;158,38;248,19
Centro;Marche;PS;NonCap;273,68;423,99;377,09;425,73;284,57;270,93;247,19;246,52;180,64;218,18;193,86;285,81;170,95;186,94;201,75;261,43;171,07;217,81;241,62;252,23;203,83;313,57;276,29;354,24;199,05;275,04;258,76;241,62;221,65;326,41;310,33;344,76;298,93;322,46;289,09;391,42;240,73;214,94;316,81;428,01;365,94;464,65;380,33;515,68;417,38;538,74;410,32;456,7;372,66;387,25;339,3;511,07;318,41;381,05;597,5;622,91
Centro;Toscana;AR;cap;133,55;162,56;141,87;169,8;126,91;103,1;119,49;106,77;118,58;106,25;114,18;138,61;106,91;102,66;106,11;112,87;99,34;112,4;93,41;141,91;134,93;152,82;160,37;145,45;123;179,59;106,78;144,7;136,87;150,67;131,66;174,71;150,04;178,41;146,8;166,79;103,9;125,81;131,01;170,25;184,39;203,57;173,28;206,85;206,87;236,36;167,55;214,38;157,65;201,54;168,93;175,25;144,64;165,89;161,83;167,16
Centro;Toscana;AR;NonCap;245,79;285,94;266,12;331,67;236,96;219,64;213,1;231,03;180,4;172,77;184,13;201,33;189,8;175,53;161,14;209,16;194,62;206,14;187,6;234,4;173,08;267,91;229,35;244,15;211,35;307,9;204,71;274,8;240,36;266,73;229,89;291,04;234,71;277;262,78;353,27;229,67;201,9;234,19;358,07;288,88;380,63;366,54;374,64;353,87;401,45;327,53;371,66;292,27;298,42;276,28;352,93;265,11;348,43;300,4;423,43
