Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Sud;Molise;CB;NonCap;38,94;32,12;58,07;41,67;29,53;35,16;44,57;53,58;41,25;37,91;33,42;37,27;32,45;34,05;29,77;45,35;38,29;34,42;22,86;38,89;40,1;38,92;45,85;36,55;26,13;44,25;33,48;40,94;25,11;43,48;29,49;37,82;36,66;53,54;49,39;56,26;26,46;28,32;61,5;69,29;61,54;85,16;64,84;98,57;49,72;65,3;85,58;72,82;62,09;60,59;63,49;76,77;83,41;72,29;81,36;90,54
Sud;Molise;IS;cap;8;4,5;10;6,91;8;18,5;7;6,98;6,98;6;2;4;4,5;6;5;19,34;12,78;3,5;5,43;5;6,5;5;8;10,98;5;4;7,4;11,5;4;10;2,15;4,16;5,5;5,39;4;9,56;7;4;13;16;4,89;4;12,17;8;5,5;14;2;5,11;3;9,34;8,16;9,25;4;7,17;14,66;9,17
Sud;Molise;IS;NonCap;8,17;15;21,33;25,5;9,57;7,5;15,99;19;10,75;12,01;21,22;16;13,52;7,48;36;27,99;17;16,92;11,25;11,22;10;14,17;12,25;14,5;11,48;11,5;12,67;11,5;18,67;16,93;24,82;11;9;18,75;13,5;27,75;14,38;7,32;24;22,78;11,5;14,32;33;38,25;38,67;32,79;20,99;46,08;25,44;33,69;27,17;23,39;20,54;30,66;21,67;51,28
Sud;Puglia;BA;cap;126,28;220,07;74,53;106,15;78,52;112,33;67,25;60,87;93,43;144,92;74,76;97,04;86,42;58,14;90,34;80,96;106,52;91;81,76;98,18;70,94;78,97;73,63;95,42;69,69;79,1;75,02;159,39;80,88;110,28;110,56;163,36;115,79;126,2;82,89;149,9;68,74;62,5;91,72;124,35;187,95;165,68;135,99;195,77;178,04;242,81;163,7;270,85;130,28;166,95;132,7;224,67;159,06;201,47;194,85;674,04
Sud;Puglia;BA;NonCap;381,77;484,77;404,81;580,32;422,82;409,94;339,2;439,2;375,34;370,91;334,17;395,03;364,05;365,25;287,43;394,89;376,75;381,73;322,36;408,01;411,1;460,41;376,41;475,54;399,14;518,08;408,52;520,36;486,29;522,15;420,31;535,73;472,9;519,85;431,65;561,96;436,31;357;513,19;581,8;579,08;702,21;534,4;787,71;709,03;900,84;635,26;714,31;623,16;656,56;566,71;766,38;625,85;728,88;552,51;924,89
Sud;Puglia;BR;cap;17,02;13,75;9,77;11;20,06;12;12,5;8,72;15;17,5;12;8;6;8,62;2,56;11,25;18;13,08;8,66;3,72;20;19,5;17,5;13,58;10;11,6;6;11,22;8,31;17;8,5;17;18;14,06;11,17;8;11,89;15;18,78;16,58;20,5;18,63;25,53;22,94;30,15;30,78;29;25,5;18,76;38,39;17,37;34,85;16,6;33,31;23,32;37,41
Sud;Puglia;BR;NonCap;60,75;33,27;54,56;57,18;35,66;50,51;58,06;39,72;38,5;19,59;31,56;30,87;25,75;29,38;44,48;44,03;44,69;38;51,93;42,59;43,33;54,8;48,46;52,85;59,99;41,91;46;82,98;51,89;50,67;61,19;82,39;48,62;74,61;57,84;83,09;38,23;36,84;77,71;93,79;66,55;100,67;76,55;114,1;96,91;127,72;97,94;122,75;80,27;93,49;71,18;120,58;98,84;97,48;84,92;110,32
Sud;Puglia;FG;cap;32,02;39,2;34,74;41,2;27,2;30,2;12;24,38;15,5;32,62;20,5;21,15;28,53;29,83;29,81;37,24;23,86;29,67;23,31;28,38;32,41;32,57;16,66;26,83;28,5;28,85;22,73;26,69;35,34;33,15;29,61;45,2;38,65;27,11;30,6;46,04;38,25;25,41;27,09;43,97;35,5;55,97;45,29;73,08;38,8;35,18;38,02;46,62;41,96;41,2;25,56;47,79;36,05;51,89;30,74;57,2
Sud;Puglia;FG;NonCap;78,51;102,13;86,2;137,36;83,34;100,08;88,66;100,37;119,3;93,07;62,29;103,97;91,77;80,03;70,36;111,86;98,55;88,51;85,62;129,7;97,4;122,16;90,8;128,28;80,1;108,11;104,39;128,46;114,44;130,27;89,43;105,24;74,56;121,36;105,63;118,51;80,83;86,63;122,36;152,08;155,73;165,67;159,6;157,43;198,06;157,19;134,37;176,16;157,83;145,36;137,86;207,87;146,95;147,67;154,41;176,83
Sud;Puglia;LE;cap;27,05;13,42;31,12;25,63;16,5;19;18,43;16;12,41;8;13,05;16,5;15,83;16;17,01;18,66;12,11;24;14,41;7,57;20,85;11;15,5;21,93;18,39;15,48;5,8;16,77;13,18;20,5;9,13;16,96;18,11;8,16;23,71;25,39;16,25;18,3;18,62;15,69;20,06;35,28;30;24,67;32,17;18,86;16,2;29,14;27,44;31,46;17,06;40,78;29;19,25;19,5;27,33
