Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Ovest;Piemonte;VC;cap;1758,85;2169,664;2020,93;2422,69;1980,43;2148,55;1122,431;1908,64
Nord Ovest;Piemonte;VC;NonCap;6093,169;5941,252;5935,71;8041,34;5387,23;6965,11;6820,506;8434,12
Nord Ovest;Valle d'Aosta;AO;cap;1224,3;1397,9;1222,37;1451,3;1672,25;1728,5;1503,7;1698,3
Nord Ovest;Valle d'Aosta;AO;NonCap;5055,78;6313,09;4949,12;7511,56;4633,861;6314,834;4740,1;7047,11
Nord Est;Emilia-Romagna;BO;cap;11962,68;13669,838;13186,586;14440,635;10750,61;15459,37;11875,108;14799,927
Nord Est;Emilia-Romagna;BO;NonCap;32057,02;39647,664;35541,805;44193,31;27452,62;37844,07;34416,062;49252,126
Nord Est;Emilia-Romagna;FE;cap;6027,715;6825,74;6777,48;8096,408;5791,563;7465,61;6400,294;8016,281
Nord Est;Emilia-Romagna;FE;NonCap;9299,28;11435,646;9835,34;13577,32;9461,688;11792,63;10603,167;13120,804
Nord Est;Emilia-Romagna;FO;cap;5404,86;5849,43;5147,02;6450,812;4117,95;5404,16;5605,16;6558,1
Nord Est;Emilia-Romagna;FO;NonCap;11116,13;10621,564;10077,685;14331,49;9487,52;12528,66;12070,807;14838,85
Nord Est;Emilia-Romagna;MO;cap;9427,93;10496,41;9313,561;11636,429;8186,82;11042,364;8119,29;12371,7
Nord Est;Emilia-Romagna;MO;NonCap;31775,545;36087,478;31655,194;41899,758;32536,796;38777,19;31491,218;51054,425
Nord Est;Emilia-Romagna;PC;cap;4943,1;5818,509;5136,44;7510,776;4863,11;6393,08;5747,212;7100,88
Nord Est;Emilia-Romagna;PC;NonCap;11738,293;13125,826;10193,737;15422,73;9116,62;11388,474;9794,707;15183,83
Nord Est;Emilia-Romagna;PR;cap;9459,07;10813,33;10686,345;12794,83;8262,14;11173,27;8434,13;17932,604
Nord Est;Emilia-Romagna;PR;NonCap;12020,33;15346,75;16770,34;19809,415;11530,238;15858,03;13920,29;18561,815
Nord Est;Emilia-Romagna;RA;cap;7552,52;8512,645;7517,55;8336,847;6201,07;8329,93;6274,43;13118,144
Nord Est;Emilia-Romagna;RA;NonCap;9421,976;12212,48;9594,522;13534,212;8441,71;11566,153;10094,885;13631,339
Nord Est;Emilia-Romagna;RE;cap;9409,65;10732,9;8576,06;10474,058;9039,077;11070,375;8689,66;11832,905
Nord Est;Emilia-Romagna;RE;NonCap;18372,4;20139,579;18582,707;24018,018;18104,752;21736,253;18325,758;27012,565
Nord Est;Emilia-Romagna;RN;cap;5615,99;6524,91;4919,77;8386,13;5462,437;6739,759;6527,709;14311,62
Nord Est;Emilia-Romagna;RN;NonCap;9529,57;9395,49;9043,71;12646,09;8072,366;8906,263;8956,76;14992,5
Nord Est;Friuli- Venezia Giulia;PN;cap;2786,45;3645,7;3153,7;3240,51;2376,47;2410,46;2285,05;6064,33
Nord Est;Friuli- Venezia Giulia;PN;NonCap;10276,46;10303,345;10504,03;13663,067;9343,918;10679,608;10492,1;15124,57
Nord Est;Friuli- Venezia Giulia;UD;cap;4926,49;6869,28;6029,656;8243,32;4068,09;6191,587;5693,588;7582,59
Nord Est;Friuli- Venezia Giulia;UD;NonCap;13321,74;16929,644;16144,47;18961,197;16867,74;16040,047;17629,823;23782,554
Nord Est;Veneto;BL;cap;1444,64;1352,606;1362,72;1888,01;878,46;1511,01;2045,5;2393,26
Nord Est;Veneto;BL;NonCap;5727,699;6736,953;6728,808;9605,38;5281,114;5964,818;6109,893;8581,135
Nord Est;Veneto;PD;cap;11742,642;15249,68;12983,06;17280,28;13757,01;16986,18;14493,31;19706,978
Nord Est;Veneto;PD;NonCap;36245,827;40997,27;37328,655;47286,308;31393,204;39630,4;36943,133;51610,383
Nord Est;Veneto;RO;cap;2412,216;2868,5;2366,53;2828,85;2719,81;2559,898;2438,348;2898,63
Nord Est;Veneto;RO;NonCap;6912,945;7476,25;7177,74;9038,04;6225,18;6781,8;6991,98;9430,983
Nord Est;Veneto;TV;cap;5800,7;5098,93;5617,954;5958,94;4232,938;4873,23;4831,59;8315,41
Nord Est;Veneto;TV;NonCap;37875,666;42895,985;38786,538;50623,244;34699,553;40519,654;42766,208;58725,304
Nord Est;Veneto;VE;cap;9088,905;10950,23;8028,03;13988,585;8060,824;9656,66;12003,742;13611,97
Nord Est;Veneto;VE;NonCap;36860,391;40078,446;36757,734;43921,612;31055,282;43087,457;40628,983;56706,238
Nord Est;Veneto;VI;cap;7407,35;9358,445;6708,33;8737,019;7294,296;7374,63;8028,343;12883,492
Nord Est;Veneto;VI;NonCap;42181,71;41726,076;36250,043;49947,648;33371,867;43234,073;39725,52;56030,264
Nord Est;Veneto;VR;cap;16473,625;16117,823;12428,574;17312,22;13191,6;14805,81;12452,09;19292,553
