Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Ovest;Piemonte;VC;cap;17787,57;16691;17100,66;22192,83;15785,87;19823,69;13010,03;17565,76
Nord Ovest;Piemonte;VC;NonCap;46747,84;46616,78;44889,605;64304,91;47213,11;56855,25;54450,85;68170,87
Nord Ovest;Valle d'Aosta;AO;cap;7940,83;9720,08;8488,77;8963,22;7857;11249,3;9261,4;9647,19
Nord Ovest;Valle d'Aosta;AO;NonCap;36040,33;41498,04;32489,79;44139,235;29794,46;38801,04;32786,95;48943,4
Nord Est;Emilia-Romagna;BO;cap;110486,64;132291,21;118517,82;137220,78;105656,49;134873,55;116538,17;148274,34
Nord Est;Emilia-Romagna;BO;NonCap;212709,99;243633,66;212872,115;288414,48;185691,305;249402,615;226995,785;306302,05
Nord Est;Emilia-Romagna;FE;cap;45249,4;49530,92;52103,975;63048,09;42274,47;58701,29;52214,11;61996,57
Nord Est;Emilia-Romagna;FE;NonCap;86883,48;102184,19;86785,51;118384,1;81831,78;105018,38;88834,13;114066,935
Nord Est;Emilia-Romagna;FO;cap;43485,535;40064,31;34109,26;43633,8;31179,83;39328,265;40130,64;47858,26
Nord Est;Emilia-Romagna;FO;NonCap;81622,6;79250,63;79709,32;108904,7;71834,65;92704,49;84620,9;114718,97
Nord Est;Emilia-Romagna;MO;cap;55063,72;62096,15;55507,15;74840,98;49757,28;65981,56;46716,33;73543,23
Nord Est;Emilia-Romagna;MO;NonCap;177152,61;199515,82;179309,54;245631,32;190080,9;223590,675;181716,56;285946,09
Nord Est;Emilia-Romagna;PC;cap;34092,72;44004,67;38131,68;41769,59;33087,13;43405,46;35657,36;47871,71
Nord Est;Emilia-Romagna;PC;NonCap;81138,91;97061,19;79001,61;122700,09;69818,705;95737,14;74945,4;112651,925
Nord Est;Emilia-Romagna;PR;cap;62532,93;75287,66;70224,24;83534,37;54525,01;72549,08;58082,28;104482,175
Nord Est;Emilia-Romagna;PR;NonCap;90003,14;118915,79;117691,58;143232,6;88382,12;114946,695;105106,69;144946,65
Nord Est;Emilia-Romagna;RA;cap;67754,565;72313,93;54223,79;72458,85;55985,35;70976,04;57335,85;93422,555
Nord Est;Emilia-Romagna;RA;NonCap;88353,91;91760,82;72821,15;113346,09;77488;98177,795;82245,32;114987,47
Nord Est;Emilia-Romagna;RE;cap;58722,05;62029,98;57091,99;71473,39;54432,435;65639,905;55919,15;71553,11
Nord Est;Emilia-Romagna;RE;NonCap;123958,25;136630,525;124855,45;152971,175;116029,65;142809,73;124566,29;173065,57
Nord Est;Emilia-Romagna;RN;cap;34694,01;40484,91;35109,8;50352,935;36506,32;40714,54;37614,06;73241,89
Nord Est;Emilia-Romagna;RN;NonCap;55739,845;56674,72;54240,77;73713,73;51155,31;61368,93;45176,15;84233,26
Nord Est;Friuli- Venezia Giulia;PN;cap;17656,61;24327;19122,74;22022,26;15371,745;18692,99;17037,5;34550,87
Nord Est;Friuli- Venezia Giulia;PN;NonCap;79388,45;92042,05;81857,585;110042,54;80079,205;99622,17;91762,39;125357,87
Nord Est;Friuli- Venezia Giulia;UD;cap;37842,44;46374,22;41506,45;53869,82;32426,98;46455,62;43172,87;54431,58
Nord Est;Friuli- Venezia Giulia;UD;NonCap;127915,45;157191,97;136151,905;177121,44;131859,81;158876,015;167227,85;203053,57
Nord Est;Veneto;BL;cap;13410,31;10774,41;10930,22;14176,61;9533,76;13643,25;14084,75;15559,79
Nord Est;Veneto;BL;NonCap;61937,19;72816,82;62321,45;84105,955;57801,41;72787,82;63843,535;83189,3
Nord Est;Veneto;PD;cap;78035,88;99143,51;83950,3;107026,16;87250,32;104655,01;92230,855;124854,07
Nord Est;Veneto;PD;NonCap;239271,28;279629,01;258562,76;326255,05;221396,8;273751,505;245488,55;343928,035
Nord Est;Veneto;RO;cap;17630,63;23209,7;17614,47;23102,76;18451,97;20787,77;18601,19;21127,14
Nord Est;Veneto;RO;NonCap;70903,12;72174,46;69093,77;87711,82;59289,74;69361,825;68906,41;92830,51
Nord Est;Veneto;TV;cap;39852,5;37333,28;35877,91;44338,68;31273,34;38393,94;37737,81;49411,35
Nord Est;Veneto;TV;NonCap;255043,58;275237,865;244991,06;321881,605;216745,485;279902,585;270384,5;353943,49
Nord Est;Veneto;VE;cap;85719,45;95038,695;83983,68;116130,89;82811;95838,46;101288,76;117628,93
Nord Est;Veneto;VE;NonCap;223111,885;244591,07;218375,37;266993,335;196881,485;262313,47;240897,51;325460,24
Nord Est;Veneto;VI;cap;44148,76;51129;41797,365;51228,39;35679,39;46078,6;46869,88;66818,39
Nord Est;Veneto;VI;NonCap;254289,32;274921,38;243469,18;324361,74;217101,7;275613,735;257156,975;332507,71
Nord Est;Veneto;VR;cap;92462,61;95136,17;82279,655;109023,96;72918,395;89206,105;86155,525;113027,99
Nord Est;Veneto;VR;NonCap;252387,59;295167,47;248155,95;321494,525;226229,51;280442,58;266079,185;338181,425
Centro;Lazio;FR;cap;8895,86;9591,11;8148,25;13344,52;7620,83;11582,04;7200,43;12315,18
Centro;Lazio;FR;NonCap;92634,96;88519,45;80054,12;104762,175;85323,96;95429,67;78313,525;103897,06
Centro;Lazio;LT;cap;33594,23;37753,33;28700,56;39300,245;31984,21;35599,53;26990,19;43580,67
Centro;Lazio;LT;NonCap;108139,25;115189,935;92798,74;120777,885;102034,63;120637,27;96983,165;134250,75
Centro;Lazio;RI;cap;12172,54;14435,21;12176,585;16117,66;9812,75;17691,82;9699,6;19808,94
Centro;Lazio;RI;NonCap;32347,73;44605,03;33331,65;44818,94;40012,385;40438,08;38288,76;51019,115
Centro;Lazio;RM;cap;762870,99;842345,67;719935,715;851993,67;714845,78;896851,26;730894,275;944800,655
Centro;Lazio;RM;NonCap;419475,765;472822,715;401003,015;504810,155;388234,095;497411,71;421259,25;574562,29
Centro;Lazio;VT;cap;26392,67;29136,64;23715,67;29702,47;22633,66;27264,07;25465,52;31618,22
Centro;Lazio;VT;NonCap;88881,82;98825,35;74461,445;106544,38;81950,81;93603,92;79268,97;110370,74
Centro;Marche;AN;cap;29076,78;33597,83;30403,89;37012,37;28344,41;36982,04;29783,7;42011,86
Centro;Marche;AN;NonCap;105187,21;113633,36;98850,47;138178,13;103614,87;120129,265;103269,06;130942,87
Centro;Marche;AP;cap;9422,25;13330,52;9321,76;14707,57;9056,41;11072,41;11450,5;17103,88
Centro;Marche;AP;NonCap;77419,58;91979,42;84243,24;105614,85;77430,06;88550,84;79580,77;118618,23
Centro;Marche;MC;cap;9054,9;11278,13;11359,82;13548,54;12725,09;14085,73;10153,15;15367,47
Centro;Marche;MC;NonCap;66282,26;75283,08;66546,51;89365,45;67624,62;79313,01;79206,45;101928,08
Centro;Marche;PS;cap;28783,01;27783,91;26740,73;33146,13;26368,68;32525,36;27978,66;36639,76
Centro;Marche;PS;NonCap;83566,65;81688,97;66770,9;95101,23;69794,185;81762,9;79963,29;112050,39
Centro;Toscana;AR;cap;28387,38;33326,82;26908,19;31559,22;26750,06;33321,59;27853,51;32870,53
Centro;Toscana;AR;NonCap;77126,12;80931,94;72753,97;95980,2;73895,91;90997,87;76507,855;98419,04
Centro;Toscana;FI;cap;117162,655;129348,98;96571,41;128149,765;112260,745;125072,54;104926,29;141097,205
Centro;Toscana;FI;NonCap;199567,02;208999,015;174166,29;229940,52;176352,62;209247,48;192438,27;233302,735
Centro;Toscana;GR;cap;30630,17;31288,02;22440,945;25966,59;23624,21;26637,82;23113,99;31506,03
Centro;Toscana;GR;NonCap;72045,59;73004,73;59640,965;74920,06;57239,1;73919,21;57048,59;75337,88
Centro;Toscana;LI;cap;50820,295;56659,82;47163,2;56039,26;41217,33;53236,81;48859,58;55716,265
Centro;Toscana;LI;NonCap;68685,2;84787,18;63882,06;89680,6;62717,91;80814,59;67646,92;85701,58
Centro;Toscana;LU;cap;37302,37;42601,07;32731,42;35717,89;32611,33;38300,02;34691,27;44345,13
Centro;Toscana;LU;NonCap;117995,64;136372,83;120960,65;133951,9;109204,2;133389,03;117459,58;149461,585
Centro;Toscana;MS;cap;19936,91;19108,64;20535,69;21253,63;16640,92;18376,46;15662,58;22134,31
Centro;Toscana;MS;NonCap;44590,995;46167,185;44314,93;48704,525;37767,44;49324,84;42989,6;48772,06
Centro;Toscana;PI;cap;31780,41;36310,77;34517,73;41143,94;30319,41;38847,42;34699,34;40622,69
Centro;Toscana;PI;NonCap;124886,96;133241,39;112974,02;133859,01;107215,46;119742,08;121145,93;154958,45
Centro;Toscana;PO;cap;57946,28;62923,165;51147,07;59274,58;50731,48;60724,71;53959,32;68127,49
Centro;Toscana;PO;NonCap;16575,74;18507,89;16415,71;22820,29;13593,61;20388,05;16183,89;24151,59
Centro;Toscana;PT;cap;28257,51;28173,29;27238,89;30019,73;23954,29;33782,55;25157,4;34803,74
Centro;Toscana;PT;NonCap;54377,65;74407,6;66048,73;75167,54;55388,525;81007,98;73347,055;84124,99
Centro;Toscana;SI;cap;19297,99;16095,75;13957,95;17866,645;13991,17;15056,11;16252,095;19660,96
Centro;Toscana;SI;NonCap;76673,65;80973,575;62938,14;94823,99;70702,175;82074,265;69491,53;85962,71
Centro;Umbria;PG;cap;58479,63;56324,45;54577,08;64046,425;45538,13;59121,26;56616,16;67871,3
Centro;Umbria;PG;NonCap;154131,55;164883,535;151239,275;181469,58;146561,86;169480,975;152323,835;187595,045
Centro;Umbria;TR;cap;34511,92;34220,84;32819,79;42215,03;29701,37;39104,53;33023,94;46749,25
Centro;Umbria;TR;NonCap;43852,01;43860,08;34733,91;43713,92;34162,11;42915,81;39973,81;48437,55
