Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Ovest;Valle d'Aosta;AO;cap;628,228;608,184;274,5;463,808;272,332;401,882;346,46;579,702
Nord Ovest;Valle d'Aosta;AO;NonCap;2445,422;2951,432;1681,27;2778,952;1910,404;2437,502;2168,836;2949,202
Nord Est;Emilia-Romagna;BO;cap;5035,212;5622,162;4787,954;6349,028;4617,382;6466,808;4952,684;7555,446
Nord Est;Emilia-Romagna;BO;NonCap;5747,486;5865,386;5473,128;7074,478;5017,09;6688,264;6264,868;7140,456
Nord Est;Emilia-Romagna;FE;cap;741,02;762,66;1214,946;1143,27;859,44;962,33;953,102;1096,1
Nord Est;Emilia-Romagna;FE;NonCap;960,29;1241,792;964,894;1755,38;1106,31;1346,44;1361,548;1721,5
Nord Est;Emilia-Romagna;FO;cap;733,278;525,448;599,418;836,98;495,05;583,6;716,8;917,12
Nord Est;Emilia-Romagna;FO;NonCap;1609,944;1346,896;1429,352;1862,29;1491,272;1846,92;1797,84;2460,978
Nord Est;Emilia-Romagna;MO;cap;2859,08;2629,92;2254,018;3311,748;2291,104;2782,544;1700,352;2833,682
Nord Est;Emilia-Romagna;MO;NonCap;4802,724;4995,714;4001,038;5678,144;4667,642;5076,87;5233,848;6637,386
Nord Est;Emilia-Romagna;PC;cap;998,744;1643,9;847,506;1260,638;716,09;1265,77;1097,996;1494,468
Nord Est;Emilia-Romagna;PC;NonCap;1494,256;1822,076;1712,384;2273,736;1449,234;1442,684;1423,38;2506,698
Nord Est;Emilia-Romagna;PR;cap;2118,038;2898,392;2179,88;3189,956;1997,86;2165,508;1940,08;4595,988
Nord Est;Emilia-Romagna;PR;NonCap;1956,934;3014,642;2168,476;2899,276;2027,16;2508,752;2087,356;3215,168
Nord Est;Emilia-Romagna;RA;cap;1323,99;969,95;701,14;1138,66;1110,49;1281,67;951,73;1591,182
Nord Est;Emilia-Romagna;RA;NonCap;1619,63;2038,74;952,61;1479,912;1802,56;2230,518;1120,288;1541,524
Nord Est;Emilia-Romagna;RE;cap;1745,948;1801,872;1593;1416,254;1676,522;1528,79;1426,02;2459,594
Nord Est;Emilia-Romagna;RE;NonCap;2023,448;3103,988;2297,06;3538,722;2598,398;2830,588;2349,19;3213,168
Nord Est;Emilia-Romagna;RN;cap;797,26;1153,764;775;1447,17;836,982;1074,05;819,268;1205,12
Nord Est;Emilia-Romagna;RN;NonCap;893,26;1154,326;834,022;1308,59;852,058;1428,2;881,858;1451,1
Nord Est;Friuli- Venezia Giulia;PN;cap;619,7;546,3;575,08;900;463,17;633,036;516,6;1245,05
Nord Est;Friuli- Venezia Giulia;PN;NonCap;1407,24;1613,75;1509,376;1671,636;1493,156;1759,74;1549,906;2437,35
Nord Est;Friuli- Venezia Giulia;UD;cap;1338,75;1103,072;1121,22;1766,42;905,78;1043,2;941,66;1741,978
Nord Est;Friuli- Venezia Giulia;UD;NonCap;2322,714;2329,52;2644,094;3465,776;2096,424;3132,316;2567,742;4370,188
Nord Est;Veneto;BL;cap;369,4;124,48;236,38;361,702;127,3;197,03;537,56;443,38
Nord Est;Veneto;BL;NonCap;1956,758;2000,522;1885,972;2640,772;1671,938;2669,69;2304,114;3189,45
Nord Est;Veneto;PD;cap;1286,22;1392,14;1289,414;1664,85;1445,24;1269,236;1220,782;1673,272
Nord Est;Veneto;PD;NonCap;1659,23;1638,99;1939,88;1863,84;1957,844;1885,416;1412,67;1958,784
Nord Est;Veneto;RO;cap;59,4;204,43;185;221,4;196,84;201,2;246,65;237,286
Nord Est;Veneto;RO;NonCap;754,25;428,89;565,16;1033,15;599,04;653,42;528,55;1101,866
Nord Est;Veneto;TV;cap;494,476;795,564;639,51;1043,21;498,234;795,064;710,6;841,29
Nord Est;Veneto;TV;NonCap;4273,94;4410,322;3321,32;4755,444;3244,618;4484,408;4061,986;5189,878
Nord Est;Veneto;VE;cap;1570,572;1279,54;1346,806;2244,312;1721,002;1896,24;1718,8;2399,598
Nord Est;Veneto;VE;NonCap;2301,492;3442,752;2174,116;2833,572;2498,646;3096,442;2502,368;3161,43
Nord Est;Veneto;VI;cap;717,2;889,16;627,65;789,76;583,968;837,318;826,8;1268,982
Nord Est;Veneto;VI;NonCap;2712,326;3807,832;3719,33;4524,34;3594,05;3707,82;2802,754;4810,272
Nord Est;Veneto;VR;cap;3167,02;2733,76;2847,328;3384,578;2528;3373,13;2662,6;3755,67
Nord Est;Veneto;VR;NonCap;3569,874;5307,26;4006,712;5953,462;3994,864;4539,472;4544,09;6225,91
Centro;Lazio;FR;cap;190,72;162,4;165,4;224,6;132,28;269,81;135,01;191,09
Centro;Lazio;FR;NonCap;2290,816;2399,886;1903,334;2610,47;2396,244;2837,702;1156,996;2177,42
Centro;Lazio;LT;cap;665,664;1130,72;481,608;861,828;702,91;591,16;389,732;660,776
Centro;Lazio;LT;NonCap;2200,794;2994,566;2625,364;3080,068;2718,816;3161,424;2843,43;3841,582
Centro;Lazio;RI;cap;493,8;443,858;254,388;669,4;249,402;416,734;293,4;536,56
Centro;Lazio;RI;NonCap;1134,93;1411,624;1331,484;1887,82;1768,752;1901,044;1704,572;2449,404
Centro;Lazio;RM;cap;17735,24;20161,554;16722,616;22489,902;18085,354;23762,942;17601,486;23933,504
Centro;Lazio;RM;NonCap;8425,274;10461,712;9866,172;12754,31;8831,754;11538,918;9715,458;12565,56
Centro;Lazio;VT;cap;715,94;1186,84;647,094;848,496;735,942;954,06;670,252;785,548
Centro;Lazio;VT;NonCap;3236,742;3439,924;2483,656;3926,376;2985,762;3480,752;2141,984;3955,098
Centro;Marche;AN;cap;894,454;822,438;791,254;1056,758;923,618;947,744;1042,14;1223,038
Centro;Marche;AN;NonCap;3009,756;2898,522;2640,33;3042,036;2375,72;2843,316;2867,662;2750,294
Centro;Marche;AP;cap;479,34;399,75;494,354;602,32;505,756;637,73;516,4;597,17
Centro;Marche;AP;NonCap;2296,312;2654,522;1863,178;3089,264;2006,572;2114,136;2417,204;3345
Centro;Marche;MC;cap;304,59;291,33;368,824;491,792;434,726;351,752;365,8;553,706
Centro;Marche;MC;NonCap;2344,562;2218,952;2322,5;2888,654;1998,544;2761,43;2265,448;3570,058
Centro;Marche;PS;cap;531,94;669,64;712,592;872,124;659,28;720,652;1028,28;626,348
Centro;Marche;PS;NonCap;1478,318;1412,68;1151,816;1774,434;1407,524;1862,284;1198,974;2646,122
Centro;Toscana;AR;cap;1000,932;1250,592;855,26;1202,19;818,778;1153,01;779,368;1215,458
Centro;Toscana;AR;NonCap;1932,264;2329,448;1905,386;2602,974;1951,976;2136,12;1692,92;3080,696
Centro;Toscana;FI;cap;2760,66;2825,252;2445,094;3004,876;2288,93;3068,284;2112,8;3537,444
Centro;Toscana;FI;NonCap;4871,102;5181,504;3806,538;5493,314;4204,584;4986,146;4861,928;5895,268
Centro;Toscana;GR;cap;443,92;455,64;458,44;611,852;335,642;554,394;546,55;660,062
Centro;Toscana;GR;NonCap;2368,67;2599,994;2545,25;3420,748;2181,408;2987,712;2706,642;2798,516
Centro;Toscana;LI;cap;993,5;866,44;879,19;1440,04;878,05;743,078;877,77;1206,662
Centro;Toscana;LI;NonCap;1794,22;2838,66;2269,726;3324,352;2271,242;2890,74;2048,172;2926,428
Centro;Toscana;LU;cap;865,01;819,872;707,48;713,1;510,604;809,1;905,34;680,444
Centro;Toscana;LU;NonCap;1818,894;2184,69;1820,174;2391,592;2253,754;2404,802;2266,618;2752,43
Centro;Toscana;MS;cap;528,85;468,98;376,198;627,81;302,386;507,6;527,28;511,98
Centro;Toscana;MS;NonCap;1593,37;1999,082;2129,652;2489,902;1803,502;1870,396;1637,38;2183,884
Centro;Toscana;PI;cap;755,278;961,454;632,586;877,226;747,76;806,11;751,398;1084,956
Centro;Toscana;PI;NonCap;3783,308;3511,528;3370,046;3841,634;3024,908;3139,478;3116,478;3812,89
Centro;Toscana;PO;cap;662,014;1010,03;837,756;791,234;908,984;938,196;887,466;1162,82
Centro;Toscana;PO;NonCap;420,27;434,05;312,19;391,242;383,48;527,644;242,4;526,4
Centro;Toscana;PT;cap;392,584;719,538;722,7;377,958;509,86;685,76;501;795,384
Centro;Toscana;PT;NonCap;916,52;736,132;987,89;1277,934;982,866;1110,832;933,022;1518,608
Centro;Toscana;SI;cap;439;307,38;226,55;481,5;152,9;431,05;481,2;369,28
Centro;Toscana;SI;NonCap;1877,418;2201,86;1771,232;2402,218;2016,898;2779,978;2022,762;2767,718
Centro;Umbria;PG;cap;1283,49;1457,474;1735,35;1685,768;1461,768;1431,148;1811,828;1803,04
Centro;Umbria;PG;NonCap;4984,796;5791,02;4261,016;6291,8;4458,402;5539,026;4910,85;5559,272
Centro;Umbria;TR;cap;789,508;994,24;683,99;968,816;956,506;788,24;844,9;1430,51
Centro;Umbria;TR;NonCap;1445,388;1626,57;1444,23;2049,352;1454,902;1743,576;1386,64;1708,718
Sud;Abruzzo;AQ;cap;668,33;735,78;604,59;957,2;539,17;654,876;2318,144;1002,648
Sud;Abruzzo;AQ;NonCap;2051,782;2527,07;1998,924;2789,204;2241,404;2491,63;2415,604;3274,046
Sud;Abruzzo;CH;cap;436,08;322,96;407,632;505,4;648,496;227,69;546,8;430,57
Sud;Abruzzo;CH;NonCap;2312,404;2692,05;2353,194;3369,218;2513,832;3173,668;2676,33;3695,424
Sud;Abruzzo;PE;cap;1084,19;744,49;681,63;705,89;578;822,98;646,6;972,618
Sud;Abruzzo;PE;NonCap;1410,07;1271,8;939,67;1551,45;1178,61;1453,914;1274;1252,7
Sud;Abruzzo;TE;cap;525,23;363,4;545,8;446,6;265,5;363,41;354,27;844,41
Sud;Abruzzo;TE;NonCap;1730,49;2079,676;2328,508;2597,404;1801,872;2731,652;2118,96;3721,546
Sud;Basilicata;MT;cap;501,994;670,24;431,44;537,596;413,988;437,924;506,31;508,598
Sud;Basilicata;MT;NonCap;1055,72;987,24;922,808;1373,568;1284,47;1144,484;1247,114;1114,538
Sud;Basilicata;PZ;cap;394,34;471,528;620,194;585,464;519,79;530,54;611,884;838,888
Sud;Basilicata;PZ;NonCap;2761,176;2394,722;3090,352;3798,57;2890,782;3160,33;2922,086;3937,236
Sud;Calabria;CS;cap;337,5;365,42;410,904;596,91;424,95;457,642;471;397,336
Sud;Calabria;CS;NonCap;3858,928;4579,112;4402,872;5587,242;4166,782;4763,01;4652,964;6022,244
Sud;Calabria;CZ;cap;469,968;695,94;593,368;564,804;803,5;422,5;619,576;929,67
Sud;Calabria;CZ;NonCap;2108,44;1764,658;2057,69;2212,388;1779,27;1697,11;2153,438;2517,514
Sud;Calabria;KR;cap;150;155;166,84;329,6;112;139,5;138,2;175
Sud;Calabria;KR;NonCap;425,748;885,936;624,38;947,6;797,13;441,32;417;617,6
Sud;Calabria;RC;cap;409,51;419,37;378,15;577,82;275,1;474,6;504,44;961,4
Sud;Calabria;RC;NonCap;900,1;1029,42;945,58;1194,9;874,898;771,22;1354,636;1430,24
Sud;Calabria;VV;cap;135;108,39;136,6;114;153,8;185;145,42;42
Sud;Calabria;VV;NonCap;445,3;363,8;873,704;641,486;464,906;576,97;633,86;849,038
Sud;Campania;AV;cap;343,248;343,8;207,85;281,248;203,18;255,85;137,148;381,22
Sud;Campania;AV;NonCap;2473,058;2865,336;2540,12;4035,734;2277,974;2524,78;2974,904;2583,902
Sud;Campania;BN;cap;313,12;261,3;167,6;471,86;221,6;401,06;390,27;441,792
Sud;Campania;BN;NonCap;1323,208;758,892;1106,1;1472,848;1195,34;1037,146;1202,68;1699,814
Sud;Campania;CE;cap;324,682;603,23;551,826;496,828;627,75;527,174;396,92;656,57
Sud;Campania;CE;NonCap;3639,512;3062,646;2825,058;3930,696;3107,316;3306,09;3275,568;4126,556
Sud;Campania;NA;cap;2790,482;3387,278;2714,864;3572,106;2634,58;3481,31;2704,696;3822,342
Sud;Campania;NA;NonCap;6917,582;9480,966;6703,642;10188,096;7723,154;9072,27;6946,826;10739,04
Sud;Campania;SA;cap;440,582;881,55;695,476;980,58;601,27;593,72;388,616;825,996
Sud;Campania;SA;NonCap;5594,016;6019,268;5418,23;7105,936;5835,464;6394,694;6695,824;7444,712
Sud;Molise;CB;cap;163,4;350,2;304,62;374,41;364,85;462,74;520,2;250,66
Sud;Molise;CB;NonCap;1151,462;1116,398;1207,208;1606,998;1688,75;1506,97;1669,056;1671,47
Sud;Molise;IS;cap;42,2;165,87;155,44;138,2;61,6;100,82;206,34;113,852
Sud;Molise;IS;NonCap;550,56;714,788;504,52;490,9;445,288;694,018;409,432;1035,16
Sud;Puglia;BA;cap;1790,514;2312,228;1614,03;2541,18;1951,494;2376,652;2067,568;6495,11
Sud;Puglia;BA;NonCap;10519,772;11163,21;9565,958;12181,37;10739,858;12322,83;8962,794;14158,034
Sud;Puglia;BR;cap;273,576;464,63;222,826;408,606;179,918;413,15;279,766;399,064
Sud;Puglia;BR;NonCap;1574,844;1912,672;1372,046;2515,888;2104,176;1881,084;1820,844;2292,984
Sud;Puglia;FG;cap;751,552;592,44;373,504;811,45;579,88;827,07;397,68;883,956
Sud;Puglia;FG;NonCap;3253,418;2882,674;2743,968;4166,852;2766,528;2890,722;2981,696;3370,174
Sud;Puglia;LE;cap;381,616;402,72;263,1;591;437,4;259,35;333,6;290,54
Sud;Puglia;LE;NonCap;2105,698;2348,604;2034,29;2964,128;2745,916;2522,034;2500,948;2709,214
Sud;Puglia;TA;cap;597,07;764,69;461,07;743,166;468,4;593,72;449,776;688,614
