Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Nord Ovest;Lombardia;BS;NonCap;2423,88;3008,84;2401,18;3115,8;1899,01;2085,02;1791,32;2035,49;1632,03;1824,58;1628,49;1984,65;1667,62;1887,59;1657,13;2110,93;1643,02;2070,21;1859,2;2355,12;2086,73;2590,73;2226,76;2859,06;2328,81;2884,94;2354,73;3039,95;2513,98;3029,29;2557,56;3234,2;2705,02;3244,08;2645,13;3374,81;2249,92;2282,29;3148,65;4230,9;3290,78;4312,93;3540,55;4508,9;3624,57;4382,52;3568,78;4327,67;3218,01;3576,18;3179,9;3979,3;3067,41;3587,61;3196,47;4328,25
Nord Ovest;Lombardia;CO;cap;232,3;304,58;205,81;251,82;196,72;192,01;143,09;163,48;174,33;167,61;116,04;151,66;161,61;156,68;166,86;196,52;176,31;204,04;162,86;257,62;220,31;263,48;250,66;259,93;230,51;273,62;242,35;252,42;225,82;278,67;220,75;312,58;269,06;322,58;266,4;287,53;219,64;189,57;251,95;298,22;301,04;329,1;278,06;354,57;303,45;425,03;307,6;339,34;330,38;320,43;318,85;436,12;384,27;364,36;301,79;357,05
Nord Ovest;Lombardia;CO;NonCap;1298,45;1527,35;1246,92;1661,42;1051,06;1236,73;917,34;1195,75;908,11;1079,21;862,24;1078,83;884,02;1051,3;898,6;1172,19;953,55;1130,5;927,51;1271,11;1054,93;1413,98;1204,49;1431,48;1103,59;1326,3;1168,69;1528,06;1220,1;1465,45;1341,31;1678,52;1280,8;1558,8;1362,39;1703,34;1109,63;1148,91;1481,71;1855,91;1571,28;2038,01;1750,37;2286,66;1911,5;2209,56;1763,25;2210,86;1749,82;2013,17;1656,39;2031,5;1608,62;1892,76;1744,25;2310,61
Nord Ovest;Lombardia;CR;cap;203,1;270,73;197,28;236,24;166,61;268,82;129,52;180,53;149,02;149,67;141,32;175,81;135,92;170,34;127,1;266,51;137,17;159,48;151,44;202,83;205,94;204,82;174,42;188,64;167,54;218,92;170,82;211,99;155,06;269,81;198,33;305,86;203,62;215,55;209,61;254,9;166,3;162,38;186,35;317,6;272,08;364,24;226,87;307,22;231,81;323,33;251,75;345,7;230,09;295,46;234,54;310,62;193,94;287,79;253,96;321,27
Nord Ovest;Lombardia;CR;NonCap;644,93;747,84;647,14;745,2;539,23;589,71;456,84;554,85;393,88;553,99;378,97;495,88;463,71;522,45;450,16;514,65;404,1;554,88;426,39;546,69;551,53;574,66;498,41;676,51;600,41;636,95;554,16;741,64;588,51;666,3;599,19;704,79;604,82;732,31;594,39;765,35;497,02;520,17;690,63;874,25;812,46;991,41;900,74;1040,03;872,02;1056,93;866,1;990,37;768,97;909,2;773,27;1030,67;758,12;1018,95;781,54;1148,62
Nord Ovest;Lombardia;LC;cap;89,99;129,04;148,58;120,28;82,93;126;75,75;108,99;101,7;102,52;66,55;94,24;87,82;97,81;60,59;130,8;66,87;91,19;77,75;107,54;103,12;123,02;110,15;159,31;101,61;118,06;110,81;118,55;103,13;138,23;103,8;176,42;114,07;138,22;107,94;154;105,72;108,34;132,94;176,04;141,68;216,92;125,23;168,84;145,77;255;129,54;206,5;150,28;145,02;143,82;227,01;133,67;167,19;133;230,69
Nord Ovest;Lombardia;LC;NonCap;679,3;869,91;686;855,11;587,83;697,38;472,32;633,27;483,52;553,87;503,99;589,32;507,56;515,03;478,04;599,78;475,31;576,54;518,4;687,95;564,9;690,58;615;748,32;605,7;781,05;632,41;786,61;632,73;790,32;637,32;861,04;725,85;812,29;674,96;954,82;568,11;661,11;735,1;1113,12;891;1178,7;942,98;1184,38;925,63;1219,45;1029,11;1202,17;930,94;954,75;882,67;1173,47;889,54;1090,38;829,87;1109,43
Nord Ovest;Lombardia;LO;cap;106,03;138,31;100,81;149,79;107,83;114,25;76,66;105,06;84,85;85,79;65,59;109,44;103,28;95,5;88,95;88,73;101,97;157,48;108,92;132,45;125;151,01;131,9;146,13;150,42;159,74;111,94;222,53;123,2;197,18;156,21;189,37;132,56;192,54;177,29;195,64;111,17;142,34;155,25;234,32;175,39;217,78;163,2;277,17;204,22;215,16;146,72;172,65;184,5;210;153,43;205,82;154,75;208,58;166,03;184,9
Nord Ovest;Lombardia;LO;NonCap;495,62;622,94;488,63;530,4;360,78;398,43;291,97;367,71;308,79;358,08;265,67;338,62;306,91;338,19;296,22;367,95;297,84;396,08;296,65;420,66;319,7;470,34;390,8;491,44;421,91;546,67;416,72;484,26;430,01;603,46;444,24;590,82;522,97;555,76;449,32;558,69;387,33;406,46;516,1;750,04;608,52;739;636,88;739,06;705,87;790,2;628,5;766,67;599,21;703,92;549,62;789,7;545,16;682,69;580,35;783,16
Nord Ovest;Lombardia;MI;cap;4244,47;5606,3;4089,37;5214,86;3790,82;4089,31;2967,8;3726,6;3611,23;4032,79;3246,98;4176,67;3725,24;4329,36;3475,66;4335,87;3809;4706,08;4106,99;5419,43;4789,62;6145,32;5063,29;5924,15;5448,82;6399,84;5405,4;6466,27;5498,66;6675,12;5274,51;7077,66;6119,72;7081,06;5872,72;7158,01;4946,94;5206,62;4968,26;6527,97;5652,14;7633,44;6134,34;7529,4;7686,19;7929,89;5818,03;7182,98;5923,85;6574,7;5325,04;7024,32;5146,4;6092,34;5069,73;7694,43
